Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU),4.8.03761
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0
Microsoft Visual Studio Setup Configuration,2.7.3111.17308
icecap_collection_neutral,16.9.31004
Microsoft .NET Framework 4 Multi-Targeting Pack,4.0.30319
Update for  (KB2504637),1
vs_filehandler_x86,16.9.31004
Microsoft .NET Runtime - 5.0.4 (x86),40.16.29816
vs_tipsmsi,16.0.28329
Microsoft Visual Studio Setup WMI Provider,2.7.3111.17308
Microsoft Windows Desktop Runtime - 3.1.13 (x86),24.116.29816
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219
vs_minshellmsires,16.9.31004
Entity Framework 6.2.0 Tools  for Visual Studio 2019,6.2.0.0
vs_clickoncebootstrappermsi,16.9.31004
Samsung NVM Express Driver,3.3.0.2003
Cisco Webex Meetings,41.3.5
Discord,0.0.309
VALORANT,
Spotify,1.1.56.595.g2d2da0de
Zoom,5.5.4 (13142.0301)
Microsoft Visual Studio Code (User),1.54.3
